Version 4
SHEET 1 4776 1012
WIRE 1248 -128 1184 -128
WIRE 1376 -128 1312 -128
WIRE 3120 -128 3120 -192
WIRE 3152 -128 3120 -128
WIRE 3376 -128 3344 -128
WIRE 1712 -112 1600 -112
WIRE 2560 -112 2528 -112
WIRE 368 -96 304 -96
WIRE 496 -96 448 -96
WIRE 2640 -96 2624 -96
WIRE 2688 -96 2640 -96
WIRE 2880 -96 2880 -160
WIRE 2880 -96 2768 -96
WIRE 1600 -80 1600 -112
WIRE 2112 -80 2080 -80
WIRE 2256 -80 2256 -224
WIRE 2256 -80 2192 -80
WIRE 2336 -80 2256 -80
WIRE 2560 -80 2336 -80
WIRE 3152 -64 3120 -64
WIRE 3376 -64 3376 -128
WIRE 3376 -64 3344 -64
WIRE 496 -48 496 -96
WIRE 576 -48 496 -48
WIRE 736 -32 736 -96
WIRE 864 -32 864 -96
WIRE 2336 -16 2336 -80
WIRE 368 0 304 0
WIRE 496 0 496 -48
WIRE 496 0 448 0
WIRE 3120 0 3120 -64
WIRE 3152 0 3120 0
WIRE 3408 0 3344 0
WIRE 3520 0 3408 0
WIRE 2112 16 2080 16
WIRE 2256 16 2256 -80
WIRE 2256 16 2192 16
WIRE 1184 32 1184 -128
WIRE 1248 32 1184 32
WIRE 2448 32 2400 32
WIRE 2528 32 2528 -112
WIRE 2688 32 2528 32
WIRE 2880 32 2880 -96
WIRE 2880 32 2768 32
WIRE 1376 48 1376 -128
WIRE 1376 48 1312 48
WIRE 1440 48 1376 48
WIRE 1600 48 1600 0
WIRE 1600 48 1520 48
WIRE 1696 48 1600 48
WIRE 1808 48 1696 48
WIRE 1248 64 1168 64
WIRE 1600 80 1600 48
WIRE 1696 80 1696 48
WIRE 1808 80 1808 48
WIRE 2528 80 2528 32
WIRE 2576 80 2528 80
WIRE 2640 80 2640 -96
WIRE 2880 80 2880 32
WIRE 1168 96 1168 64
WIRE 2112 112 2080 112
WIRE 2256 112 2256 16
WIRE 2256 112 2192 112
WIRE 2400 112 2400 32
WIRE 3120 112 3120 0
WIRE 3312 112 3120 112
WIRE 3408 112 3408 0
WIRE 3408 112 3376 112
WIRE 1600 192 1600 160
WIRE 1696 192 1696 160
WIRE 1696 192 1600 192
WIRE 3120 192 3120 112
WIRE 3200 192 3120 192
WIRE 2112 208 2080 208
WIRE 2256 208 2256 112
WIRE 2256 208 2192 208
WIRE 3408 208 3408 112
WIRE 3408 208 3264 208
WIRE 3200 224 3120 224
WIRE 1600 256 1600 192
FLAG 416 -736 +15V
FLAG 400 -496 -15V
FLAG 736 48 0
FLAG 864 48 0
FLAG 736 -96 +15V
FLAG 864 -96 -15V
FLAG 720 -880 Pos_pw_source
FLAG 784 -768 Pos_sen_1
FLAG 720 -400 Virtual_ground
FLAG 976 -736 +15V
FLAG 960 -496 -15V
FLAG 1280 -880 Pos_pw_source
FLAG 1344 -768 Pos_sen_2
FLAG 1280 -400 Virtual_ground
FLAG 1488 -736 +15V
FLAG 1472 -496 -15V
FLAG 1792 -880 Pos_pw_source
FLAG 1856 -768 Pos_sen_3
FLAG 1792 -400 Virtual_ground
FLAG 2048 -736 +15V
FLAG 2032 -496 -15V
FLAG 2352 -880 Pos_pw_source
FLAG 2416 -768 Pos_sen_4
FLAG 2352 -400 Virtual_ground
FLAG 2880 80 Pos_pw_source
FLAG 2080 -80 Pos_sen_1
FLAG 2080 16 Pos_sen_2
FLAG 2080 112 Pos_sen_3
FLAG 2080 208 Pos_sen_4
FLAG 2336 48 0
FLAG 2336 -80 Vz_pos
FLAG 2592 -128 +15V
FLAG 2592 -64 -15V
FLAG 2880 -304 +15V
FLAG 1712 -112 Virtual_ground
FLAG 576 -48 +2V
FLAG 2048 -224 +2V
FLAG 1184 -288 Neg_sen
FLAG 1600 256 -15V
FLAG 1280 16 +15V
FLAG 1280 80 -15V
FLAG 1168 96 0
FLAG 2400 112 Virtual_ground
FLAG 3232 -400 +15V
FLAG 3232 -336 -15V
FLAG 3120 -352 Neg_sen
FLAG 3568 -368 Out_n7V
FLAG 2864 -816 +15V
FLAG 2864 -752 -15V
FLAG 2720 -768 Vz_pos
FLAG 3568 -848 Out_p7V
FLAG 3232 176 +15V
FLAG 3232 240 -15V
FLAG 3520 0 Out_ADC_ref
FLAG 1808 144 0
FLAG 304 -96 +15V
FLAG 304 0 -15V
FLAG 3120 224 Neg_sen
DATAFLAG 2656 -96 ""
DATAFLAG 2464 -80 ""
DATAFLAG 2848 32 ""
DATAFLAG 800 112 "I(V1)"
DATAFLAG 800 160 "I(V1)*V(+15v)*2"
DATAFLAG 736 -736 ""
DATAFLAG 2384 -736 ""
DATAFLAG 1312 -736 ""
DATAFLAG 1808 -736 ""
DATAFLAG 1632 -288 ""
DATAFLAG 832 -464 ""
DATAFLAG 3488 -848 ""
DATAFLAG 3488 -368 ""
DATAFLAG 1376 48 ""
DATAFLAG 3232 -528 ""
DATAFLAG 1696 -80 "I(R_pcb_trace)"
DATAFLAG 1472 0 "I(R28)"
DATAFLAG 2752 -768 ""
DATAFLAG 3440 0 ""
DATAFLAG 1728 48 ""
DATAFLAG 528 -48 ""
DATAFLAG 2720 -160 "I(R22)"
DATAFLAG 448 -816 "Ix(U1:H+)"
SYMBOL voltage 736 -48 R0
WINDOW 123 0 0 Left 0
WINDOW 39 24 44 Left 2
SYMATTR InstName V1
SYMATTR Value 15
SYMBOL voltage 864 64 R180
WINDOW 123 0 0 Left 0
WINDOW 39 24 68 Left 2
SYMATTR InstName V2
SYMATTR Value 15
SYMBOL References\\ADR1399E 560 -624 R0
SYMATTR InstName U1
SYMBOL cap 384 -640 R0
SYMATTR InstName C1
SYMATTR Value 1µ
SYMBOL res 560 -864 R0
SYMATTR InstName R7
SYMATTR Value 1.1k
SYMBOL res 2784 16 R90
WINDOW 0 0 56 VBottom 2
WINDOW 3 32 56 VTop 2
SYMATTR InstName R9
SYMATTR Value 5k
SYMBOL res 2544 16 R90
WINDOW 0 0 56 VBottom 2
WINDOW 3 32 56 VTop 2
SYMATTR InstName R10
SYMATTR Value 10k
SYMBOL res 752 -720 R0
SYMATTR InstName R1
SYMATTR Value 5
SYMBOL cap 752 -592 R0
SYMATTR InstName C2
SYMATTR Value 1µ
SYMBOL References\\ADR1399E 1120 -624 R0
SYMATTR InstName U2
SYMBOL cap 944 -640 R0
SYMATTR InstName C4
SYMATTR Value 1µ
SYMBOL res 1120 -864 R0
SYMATTR InstName R2
SYMATTR Value 1.1k
SYMBOL res 1312 -720 R0
SYMATTR InstName R3
SYMATTR Value 5
SYMBOL cap 1312 -592 R0
SYMATTR InstName C5
SYMATTR Value 1µ
SYMBOL References\\ADR1399E 1632 -624 R0
SYMATTR InstName U3
SYMBOL cap 1456 -640 R0
SYMATTR InstName C6
SYMATTR Value 1µ
SYMBOL res 1632 -864 R0
SYMATTR InstName R4
SYMATTR Value 1.1k
SYMBOL res 1824 -720 R0
SYMATTR InstName R5
SYMATTR Value 5
SYMBOL cap 1824 -592 R0
SYMATTR InstName C7
SYMATTR Value 1µ
SYMBOL References\\ADR1399E 2192 -624 R0
SYMATTR InstName U4
SYMBOL cap 2016 -640 R0
SYMATTR InstName C8
SYMATTR Value 1µ
SYMBOL res 2192 -864 R0
SYMATTR InstName R6
SYMATTR Value 1.1k
SYMBOL res 2384 -720 R0
SYMATTR InstName R8
SYMATTR Value 5
SYMBOL cap 2384 -592 R0
SYMATTR InstName C9
SYMATTR Value 1µ
SYMBOL res 2208 -96 R90
WINDOW 0 0 56 VBottom 2
WINDOW 3 32 56 VTop 2
SYMATTR InstName R16
SYMATTR Value 2k
SYMBOL res 2208 0 R90
WINDOW 0 0 56 VBottom 2
WINDOW 3 32 56 VTop 2
SYMATTR InstName R17
SYMATTR Value 2k
SYMBOL res 2208 96 R90
WINDOW 0 0 56 VBottom 2
WINDOW 3 32 56 VTop 2
SYMATTR InstName R18
SYMATTR Value 2k
SYMBOL res 2208 192 R90
WINDOW 0 0 56 VBottom 2
WINDOW 3 32 56 VTop 2
SYMATTR InstName R19
SYMATTR Value 2k
SYMBOL cap 2320 -16 R0
SYMATTR InstName C14
SYMATTR Value 2µ
SYMBOL res 2784 -112 R90
WINDOW 0 0 56 VBottom 2
WINDOW 3 32 56 VTop 2
SYMATTR InstName R22
SYMATTR Value 360
SYMBOL diode 2112 -208 R270
WINDOW 0 32 32 VTop 2
WINDOW 3 0 32 VBottom 2
SYMATTR InstName D1
SYMATTR Value BAV199HM
SYMBOL Misc\\LT5400-1 3200 -656 R90
SYMATTR InstName U7
SYMBOL res 912 -384 R0
SYMATTR InstName R11
SYMATTR Value 100R
SYMBOL res 1408 -384 R0
SYMATTR InstName R23
SYMATTR Value 100R
SYMBOL res 1936 -384 R0
SYMATTR InstName R24
SYMATTR Value 100R
SYMBOL res 2480 -384 R0
SYMATTR InstName R25
SYMATTR Value 100R
SYMBOL res 1536 32 R90
WINDOW 0 0 56 VBottom 2
WINDOW 3 32 56 VTop 2
SYMATTR InstName R28
SYMATTR Value 1.1k
SYMBOL res 1584 -96 R0
SYMATTR InstName R_PCB_TRACE
SYMATTR Value 0.01
SYMBOL cap 2640 64 R90
WINDOW 0 0 32 VBottom 2
WINDOW 3 32 32 VTop 2
SYMATTR InstName C3
SYMATTR Value 100p
SYMBOL cap 1312 -144 R90
WINDOW 0 0 32 VBottom 2
WINDOW 3 32 32 VTop 2
SYMATTR InstName C15
SYMATTR Value 100p
SYMBOL cap 3360 -464 R90
WINDOW 0 0 32 VBottom 2
WINDOW 3 32 32 VTop 2
SYMATTR InstName C16
SYMATTR Value 100p
SYMBOL OpAmps\\LT1884 2864 -848 R0
SYMATTR InstName U10
SYMBOL OpAmps\\LT1884 3232 -432 R0
SYMATTR InstName U11
SYMBOL OpAmps\\LT1884 1280 -16 R0
SYMATTR InstName U8
SYMBOL OpAmps\\LT1884 2592 -160 R0
SYMATTR InstName U9
SYMBOL res 1584 64 R0
SYMATTR InstName R29
SYMATTR Value 2.2k
SYMBOL OpAmps\\LT1884 3232 144 R0
SYMATTR InstName U13
SYMBOL cap 3376 96 R90
WINDOW 0 0 32 VBottom 2
WINDOW 3 32 32 VTop 2
SYMATTR InstName C18
SYMATTR Value 100p
SYMBOL Misc\\LT5400-6 3248 -96 R0
SYMATTR InstName U12
SYMBOL cap 1792 80 R0
SYMATTR InstName C19
SYMATTR Value 2µ
SYMBOL res 1680 64 R0
SYMATTR InstName R12
SYMATTR Value 2.2k
SYMBOL res 464 -16 R90
WINDOW 0 0 56 VBottom 2
WINDOW 3 32 56 VTop 2
SYMATTR InstName R13
SYMATTR Value 27K
SYMBOL res 464 -112 R90
WINDOW 0 0 56 VBottom 2
WINDOW 3 32 56 VTop 2
SYMATTR InstName R14
SYMATTR Value 18.2K
SYMBOL res 2896 -144 R180
WINDOW 0 36 76 Left 2
WINDOW 3 36 40 Left 2
SYMATTR InstName R15
SYMATTR Value 328
TEXT 488 104 Left 2 !.tran 1
